"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PYGL",0.0777751535815954,0.652076696579693,0.271,0.17,1
"EZH2",0.0779325669290243,0.42701014094492,0.357,0.227,1
"IFT43",0.0779927210954101,0.376245016281785,0.679,0.636,1
"ERBB3",0.0780341886813861,-0.402371087442683,0.543,0.67,1
"SIKE1",0.0780668183513018,0.51235193291308,0.343,0.227,1
"MAP3K5",0.0780712658117712,0.433242094656434,0.293,0.182,1
"TM9SF4",0.0784046897198629,0.273565073325963,0.293,0.17,1
"SLC9A1",0.0784936717957634,0.636809939926382,0.271,0.17,1
"PTPN6",0.078685570572179,0.678071905112638,0.271,0.17,1
"KCNJ3",0.078851159567016,-0.29901370293936,0.814,0.864,1
"LEMD3",0.0789615081484422,0.652076696579693,0.286,0.182,1
"SETDB1",0.0789734364317406,0.508485842950843,0.279,0.17,1
"RAD50",0.0790696866403745,-0.321156393857521,0.886,0.955,1
"YIPF4",0.0791520289016716,-0.455726592954822,0.464,0.591,1
"CSNK1G1",0.0791687209119866,0.505998437091749,0.321,0.205,1
"COPS7A",0.0791704579084297,-0.38781603054382,0.514,0.636,1
"PKNOX1",0.0793532405199971,0.27637734525135,0.336,0.216,1
"OXSR1",0.0794067249814049,0.689229694997159,0.3,0.193,1
"CC2D1A",0.0794435579635147,0.494535419593213,0.329,0.216,1
"KIF13B",0.0794722993354919,-0.424274189550422,0.514,0.625,1
"SPCS1",0.0794925234409877,-0.250709500696089,1,1,1
"ZNF121",0.0795327553579291,0.450442835410043,0.264,0.159,1
"NFYA",0.0795487613164936,0.525699410810137,0.321,0.216,1
"HDHD5",0.0796465377390024,0.330148601692331,0.443,0.295,1
"TERF2",0.0797484857682463,0.453531017197613,0.343,0.227,1
"GINM1",0.0799090286493527,0.437951891226846,0.564,0.455,1
"EAPP",0.0800096170911432,0.319952834586442,0.586,0.489,1
"NAXE",0.080035782462915,-0.319240548716222,0.971,1,1
"MR1",0.0802002626843417,0.368967850582859,0.521,0.409,1
"JADE1",0.0804500737583831,0.508485842950843,0.25,0.148,1
"MUC1",0.0806505603800818,0.413137966363363,0.95,0.955,1
"LACTB",0.0807149304157112,0.607376889108879,0.557,0.466,1
"SOX12",0.0808037824132297,0.391549146356474,0.293,0.182,1
"CADM4",0.0808156743513282,0.541652706886042,0.257,0.159,1
"RABEPK",0.0808569899701668,0.517775604868102,0.264,0.159,1
"ANAPC16",0.0809136905369475,-0.383230172156259,0.907,0.909,1
"EFHD2",0.0809261085893849,0.839162249180188,0.493,0.398,1
"RNPEPL1",0.080995911507397,0.441179914081075,0.529,0.432,1
"TUBGCP2",0.08119140828731,0.44750555233049,0.579,0.5,1
"GJC3",0.0812389061309297,0.516561725923212,0.321,0.216,1
"GRK6",0.081242897535444,0.619655218887315,0.271,0.17,1
"CRYBA2",0.0813521360025426,0.425305834732671,0.279,0.17,1
"NFIX",0.0813913489484708,-0.322752727685401,0.857,0.92,1
"TCTN3",0.0814405102345426,0.312001254982071,0.386,0.261,1
"RAB3IP",0.0814580876259598,0.313274783127934,0.457,0.318,1
"DOT1L",0.0814858123480994,0.304153393159386,0.264,0.159,1
"VPS33A",0.081487479830697,0.552541023028779,0.286,0.182,1
"TIMP2",0.0817220311485543,0.975389114337596,0.836,0.83,1
"RBMX2",0.0819822065817747,0.345415358345641,0.5,0.386,1
"CCDC71L",0.0820222051587158,0.281239001211385,0.293,0.182,1
"MRPS36",0.0820298638438114,-0.322467722737637,0.821,0.886,1
"PTDSS2",0.0822069002594513,0.45567948377619,0.286,0.182,1
"SDHC",0.0822234457463275,-0.260207157799044,0.957,0.943,1
"SLC35F5",0.0824768830350309,-0.393520169860417,0.479,0.614,1
"C5orf15",0.0825823003775516,0.268748057028187,0.643,0.511,1
"GIGYF1",0.0826577296876083,-0.327931828232841,0.5,0.614,1
"SF3B2",0.0826666839808099,-0.294639879522014,0.829,0.886,1
"HMCES",0.0827609375838518,0.278923278337157,0.429,0.307,1
"COPS6",0.0829314951950011,-0.300056992155048,0.957,0.943,1
"TOPBP1",0.0830119350060179,0.50702636377641,0.293,0.182,1
"GSK3B",0.0830967341074106,0.52808797930424,0.536,0.466,1
"TK2",0.0832432262704418,0.312870610260495,0.436,0.307,1
"CBWD2",0.0833513545324547,0.66575163347677,0.271,0.17,1
"PIGF",0.0833843200808896,0.484476748083625,0.343,0.227,1
"JUNB",0.0835059503862352,0.34044323993909,1,0.989,1
"OPTN",0.0840771270368061,0.45847269866787,0.443,0.341,1
"NSUN6",0.0843609871628772,0.500073603134643,0.3,0.193,1
"DAP3",0.084383126965654,-0.303487745764515,0.843,0.886,1
"PGAM5",0.0845011073725561,0.429684275243245,0.321,0.216,1
"RTCA",0.0845519702223083,0.260439629880926,0.529,0.386,1
"LINC-PINT",0.0845599179227031,-0.404079429905045,0.807,0.92,1
"PAPSS1",0.0845741771571395,0.314028936329054,0.479,0.352,1
"TRABD",0.0845788314291701,0.295383183531654,0.657,0.602,1
"NCK1",0.084712839620618,0.364914019853008,0.407,0.295,1
"KDM1A",0.084785384379092,0.330148601692331,0.421,0.284,1
"PEX1",0.0849375221220163,0.441179914081075,0.307,0.193,1
"RPS6KA6",0.0853982842031748,0.35184367279165,0.364,0.239,1
"ALYREF",0.0855593207562847,0.48322793169672,0.607,0.557,1
"PIK3C2A",0.0856263703946799,-0.38808042989229,0.55,0.693,1
"CCDC66",0.0857562471765108,0.252980741169871,0.457,0.341,1
"BFAR",0.08582047592771,0.459431618637297,0.6,0.534,1
"UPK3BL1",0.0861141026691013,0.348527131007185,0.4,0.273,1
"KCTD6",0.0862941057355353,0.330148601692331,0.314,0.205,1
"TUBB2A",0.0864908347382275,0.568137878079797,0.643,0.591,1
"SLC35E3",0.086547175573147,0.330148601692331,0.407,0.284,1
